Distance (m),Lean Angle (deg)
4281,-29.2726507124
4284,-32.6046259217
4286,-36.5881618305
4288,-40.0288443739
4291,-42.2266064729
4293,-43.2907543438
4296,-43.2713875683
4298,-42.1864769068
4301,-39.7922407136
4303,-36.3991985601
4306,-31.9778590244
4308,-26.5044597468
4311,-19.9425775993
4314,-12.3720948448
4317,-4.4119305099
4319,3.4301169533
4322,10.7238593293
4325,17.1851958221
4328,22.5760398003
4331,27.1157509968
4334,30.8600688595
4337,33.7566293283
4339,35.8747297721
4342,36.9166911918
4345,37.2192206958
4348,36.9400736982
4352,36.1854842955
4355,35.0993127693
4358,33.8071415177
4361,32.4747817785
4364,31.2089240636
4368,30.0453772234
4371,29.1055743477
4374,28.4598962976
4378,28.1199053523
4381,28.0345576212
4385,28.2050730376
4388,28.6290999933
4392,29.3837908976
4395,30.481581194
4399,31.9252202615
4402,33.7313707447
4405,35.730471683
4409,37.6570988228
4412,39.182610943
4416,40.2638199605
4419,40.9173004286
4423,41.2289179448
4426,41.3527537165
4430,41.435071864
4434,41.4966578564
4437,41.4966578564
4441,41.3527537165
4444,40.7078672418
4448,39.2922710498
4452,36.9867225559
4455,33.6301480041
4459,29.2170335657
4462,23.8720045
4466,18.081136942
4470,12.0230572217
4473,5.8976639005
4476,-0.109604962
4480,-5.7891937859
4483,-11.146516599
4486,-16.2130877155
4490,-20.8733761957
4493,-25.1425640534
4496,-28.8818869848
4499,-32.0829146538
4502,-34.8046574181
4505,-37.0100255789
4508,-38.6960863307
4511,-39.7706625748
4514,-40.3700640103
4516,-40.6026545817
4519,-40.4759745416
4522,-40.0502607112
4525,-39.2922710498
4528,-38.338047953
4531,-37.2192206958
4534,-35.9945203888
4537,-34.7059425003
4540,-33.4778073928
4543,-32.3706281449
4546,-31.4222906398
4549,-30.590016745
4552,-29.8532855782
4555,-28.993829585
4558,-27.777657028
4561,-26.0343196278
4565,-23.5349900842
4568,-20.1360730412
4571,-15.5709454399
4575,-10.3000190561
4578,-4.702328918
4581,0.7671898617
4585,5.8976639005
4588,10.2292483973
4592,13.7587891471
4595,16.5158261736
4599,18.5093669972
4602,19.8133335779
4606,20.3612476182
4610,20.4254704137
4613,20.1361235792
4617,19.5542157633
4621,18.7717811158
4625,17.9159205786
4628,17.0182849827
4632,16.0782549761
4636,15.06112281
4640,13.9654285924
4644,12.8592248645
4648,11.7081306499
4652,10.3707579899
4655,8.8435815585
4659,7.0519115459
4663,4.8474953157
4667,2.4463418812
4670,-0.0730318076
4674,-2.5556812301
4677,-4.883748798
4681,-6.7278242718
4684,-8.3077335315
4688,-9.7686184932
4691,-11.2871140135
4694,-12.9286237435
4697,-14.8906163635
4700,-17.1851434966
4704,-19.7486073009
4707,-22.3888051518
4710,-24.9025574246
4713,-26.6797860553
4716,-27.6917677532
4718,-28.1483096248
4721,-28.233476682
4724,-28.1483096248
4727,-28.1766988539
4730,-28.6290999933
4732,-29.5500040323
4735,-30.9676581679
4738,-32.7599764735
4740,-34.7553294272
4743,-36.7292990224
4745,-38.5398887657
4748,-40.157208043
4750,-41.5171498466
4753,-42.5457224142
4755,-43.3101391832
4757,-43.828321634
4760,-44.1312528736
4762,-44.2252616666
4764,-44.0935476969
4767,-43.828321634
4769,-43.4453367135
4771,-42.9008854736
4773,-42.1060964497
4776,-40.8545828292
4778,-39.0505800972
4780,-36.5646010203
4782,-33.3249698084
4784,-29.3560067562
4786,-25.0526596892
4788,-20.7456795224
4790,-16.5493881348
4792,-12.5810836532
4794,-8.8078684024
4795,-5.1375256809
4797,-1.2784758877
4799,2.8473312768
4801,7.3395723142
4803,12.0579857265
4804,16.7841518808
4806,21.3186799777
4807,25.5901017067
4809,29.6053019048
4811,33.2994580029
4812,36.7058243313
4813,39.7490709166
4815,42.4065136813
4816,44.7094197984
4817,46.6367758678
4819,48.0468839861
4820,49.0562575467
4821,49.7225099192
4822,50.1317417386
4823,50.3263123
4824,50.4304229004
4825,50.5045220531
4826,50.534078303
4827,50.4749055687
4828,50.2367038807
4829,49.6306227469
4830,48.7401756692
4832,47.6184414346
4833,46.4117426642
4834,45.2400324917
4835,44.5612948041
4836,44.3002886964
4837,44.4124419645
4839,44.7463114881
4840,45.1674331532
4841,45.4387644576
4843,45.3666723076
4844,44.8200117536
4845,43.6566026967
4847,41.8231387193
4848,39.2922710498
4850,36.4701770008
4852,33.6301480041
4853,31.0213832543
4855,28.9379104402
4857,27.8348563416
4859,27.4620989486
4861,27.6057882963
4863,28.0630070354
4865,28.600951823
4867,28.853874588
4869,28.7697028447
4872,28.4316576763
4874,27.8348563416
4876,27.0288270526
4879,26.0048241484
4882,24.9325977195
4884,23.8720045
4887,22.8558191048
4890,21.9501121739
4892,21.2552144586
4895,20.6497528496
4898,20.1361235792
4901,19.6514957725
4904,19.1639257821
4907,18.6734579131
4910,18.2131488732
4913,17.7834630436
4916,17.3850719008
4919,16.9848879799
4922,16.3141047294
4926,15.2993844106
4929,13.8277277793
4932,11.9181625374
4935,9.6266395637
4939,7.2317281818
4942,4.9200552682
4945,2.6651163766
4948,0.4018978737
4951,-1.972056078
4954,-4.7749197898
4957,-8.1645520455
4960,-12.2326010325
4963,-16.7840993314
4966,-21.5718944048
4969,-25.9752675244
4972,-29.4669654981
4975,-32.0041351928
4977,-33.6047752755
4980,-34.458200686
4983,-34.7553294272
4985,-35.0258087773
4988,-35.4888895956
4991,-36.1854842955
4993,-37.1263997703
4996,-37.9991343091
4999,-38.5398887657
5001,-38.6515127815
5004,-38.338047953
5007,-37.6112376955
5009,-36.6587950379
5012,-35.8026661458
5015,-35.2458096657
5017,-35.1726079711
5020,-35.730471683
5022,-37.1263997703
5025,-38.9401995428
5028,-40.8755128209
5030,-42.7040844816
5033,-44.244021637
5036,-45.1674331532
5038,-45.4567517461
5041,-45.1492329837
5044,-44.244021637
5047,-42.723811607
5050,-40.5815854888
5052,-38.0445166675
5055,-35.2702064258
5058,-32.3966788564
5061,-29.6329064863
5064,-27.1446805813
5067,-24.9325977195
5071,-22.9488407707
5074,-21.223436279
5077,-19.7162498762
5080,-18.4106889113
5084,-17.2185211438
5087,-16.1456678382
5090,-15.1972999466
5094,-14.2403362272
5097,-12.7897331076
5101,-10.7238593293
5104,-8.0571265824
5108,-4.7749197898
5111,-0.8767723898
5115,3.5029391669
5118,7.9497003531
5122,12.3023390728
5126,16.4486673166
5129,20.2648385181
5133,23.7496768708
5137,26.7964024612
5140,29.3560503168
5144,31.3423808824
5147,32.8116535609
5151,33.5540646965
5155,33.8323555129
5158,33.6554660772
5162,33.0690996883
5165,32.2139265345
5169,31.1554105054
5173,30.0453772234
5176,28.993829585
5180,27.9775689688
5184,27.1157509968
5188,26.3872929751
5191,25.73855954
5195,25.022677935
5199,24.2072753221
5203,23.1962903551
5207,21.9501121739
5211,20.5216790935
5215,18.9026835311
5219,17.1518061752
5223,15.4013162771
5226,13.8965716236
5230,12.4069314515
5234,10.7944039108
5238,8.9149311401
5241,6.7278242718
5245,4.4845804593
5248,2.5192368086
5252,1.0594144033
5255,0.3288116805
5259,0.4749254394
5262,1.8626308462
5265,3.8304101108
5268,5.9699727221
5271,7.9855153787
5274,9.7331489568
5277,11.1816649636
5280,12.5462938315
5282,13.8277277793
5285,15.1292599441
5288,16.5158261736
5290,18.2131488732
5293,20.1361235792
5295,22.1384722567
5298,24.1768380871
5300,26.2405114331
5303,28.3750908608
5305,30.6171196983
5307,32.8374898589
5310,35.001303714
5312,37.0566253666
5314,38.7183697786
5317,39.8569278799
5319,40.4336635899
5322,40.4760077318
5324,40.135858847
5326,39.9214934822
5329,39.9859376995
5331,40.348848572
5333,40.9173004286
5336,41.5990204379
5338,42.085977363
5341,42.2666851493
5343,42.0255119042
5345,41.4761207074
5348,40.7288897907
5350,40.4124881493
5353,40.8546156451
5355,42.0456692904
5358,43.7712112113
5360,45.6003226249
5363,46.7743229944
5365,47.1828436257
5368,46.8599553121
5370,45.8497824551
5373,44.2064897468
5375,42.3865851228
5378,41.1046118776
5380,40.9381580998
5383,42.2065637917
5386,44.8383930512
5388,48.2260232273
5391,51.0600982035
5394,52.9444493704
5397,53.7653352589
5399,53.4433582108
5402,51.7152847793
5405,49.0562575467
5408,45.6003226249
5411,41.4761207074
5414,36.9400736982
5417,32.3706281449
5420,27.7204424933
5423,22.9178639267
5426,17.8166218712
5429,12.3372489529
5432,6.4033043663
5434,0.3288116805
5437,-5.6445212891
5440,-11.2519912731
5443,-16.4150177034
5446,-20.9371184
5448,-24.9325977195
5451,-28.4033596273
5453,-31.4755022731
5456,-34.2339584042
5458,-36.7996739256
5461,-39.1606516058
5463,-41.2289179448
5465,-42.9792502156
5468,-44.3563895964
5470,-45.2219071179
5472,-45.7253306657
5474,-45.9383532905
5476,-45.9383532905
5479,-45.7965099393
5481,-45.5823987035
5483,-45.3305430909
5485,-44.9850800777
5487,-44.4869632241
5489,-43.8473640606
5492,-42.998833304
5494,-42.0658139096
5496,-41.1461104241
5499,-40.348848572
5501,-39.7706625748
5503,-39.6191686245
5506,-39.7058130669
5508,-39.8999963635
5511,-40.0502607112
5513,-40.0716636154
5515,-39.8353902809
5518,-39.4451934726
5520,-38.9401995428
5523,-38.4054535122
5525,-37.9309732816
5528,-37.7942716525
5530,-37.953695782
5533,-38.3605186549
5535,-39.0064829972
5538,-39.7922407136
5540,-40.5393743753
5543,-41.1046118776
5546,-41.3527537165
5548,-41.2082437891
5551,-40.6447860251
5554,-39.5540342438
5557,-38.1576739436
5560,-36.5881618305
5563,-34.903098149
5565,-33.2483896442
5568,-31.793380387
5571,-30.481581194
5574,-29.3004802473
5577,-28.2618207456
5579,-27.3180344684
5582,-26.6213882989
5585,-26.0933123964
5587,-25.8570318894
5590,-25.9457424144
5592,-26.3579755988
5594,-27.2025402413
5596,-28.3468070361
5599,-29.7432169817
5601,-31.3423808824
5603,-33.1203771322
5605,-34.976783981
5607,-36.6823353077
5609,-38.2254145712
5611,-39.5105319585
5613,-40.4971432357
5615,-41.0422820116
5616,-41.2289179448
5618,-41.0422820116
5620,-40.5182654479
5622,-39.6191686245
5625,-38.3155633205
5627,-36.8231280671
5629,-35.2458096657
5631,-33.7818730534
5633,-32.5527495683
5636,-31.8988989487
5638,-31.793380387
5641,-32.1877296021
5643,-33.0177221621
5645,-34.1088481697
5648,-35.1237591502
5650,-35.9466626901
5652,-36.6117452353
5655,-37.1263997703
5657,-37.5423579624
5659,-37.9082367434
5661,-38.2705168871
5664,-38.6292227112
5666,-38.9843791762
5668,-39.2484412113
5670,-39.0946568154
5673,-38.6515127815
5675,-37.9991343091
5677,-37.3349540174
5679,-36.8699198902
5682,-37.0100255789
5684,-37.7257307357
5686,-38.9622962384
5689,-40.4336635899
5691,-41.8434242287
5694,-42.3466587294
5696,-41.8231068638
5699,-40.2425043174
5701,-37.5423579624
5704,-33.6301082466
5707,-28.3184637178
5709,-22.1070809048
5712,-15.1972999466
5715,-7.9855153787
5717,-0.7306228563
5720,6.2950383719
5723,12.998038519
5725,19.0660625817
5728,24.3590532986
5731,28.7977605112
5734,32.1615586961
5736,34.7306627002
5739,36.6588319461
5742,38.0445166675
5744,38.9622962384
5747,39.3360461527
5750,39.3141482733
5752,38.9180890831
5755,38.1577094057
5757,37.1263997703
5760,35.8987093838
5763,34.8785196725
5765,34.483068554
5768,34.9522495741
5771,36.4228600703
5773,38.9401995428
5776,41.4556027721
5779,43.3488415093
5781,44.1500726831
5784,43.4067875719
5787,39.7706625748
5790,33.5794274266
5792,24.7219143316
5795,13.6208443863
5798,1.57059415
5801,-8.8078684024
5804,-16.8510762709
5806,-22.5759909162
5809,-26.3872929751
5812,-28.6290999933
5814,-29.5776388473
5817,-30.0179563789
5819,-30.2093698984
5822,-30.3184530118
5824,-30.481581194
5827,-30.644165057
5829,-30.9676581679
5832,-31.3423808824
5835,-32.1615586961
5837,-34.0837973864
5840,-34.008516733
5843,-32.734135726
5845,-31.1286100551
5848,-29.2448496877
5851,-27.3468592626
5854,-25.9162025074
5857,-24.9025574246
5860,-24.1768380871
5862,-23.7496288352
5865,-23.68840273
5868,-24.3590532986
5870,-25.5306058945
5873,-26.8254963968
5876,-27.8348563416
5878,-28.1766988539
5881,-27.2314249305
5883,-25.3518582082
5885,-22.7937176518
5887,-19.6514957725
5890,-16.1456678382
5892,-12.5810836532
5894,-9.1287002891
5896,-5.753046713
5898,-2.4098342104
5899,0.9132794113
5901,4.4482857645
5903,8.2003851848
5905,12.0929599574
5906,16.0782549761
5908,20.1038737432
5910,24.024625743
5911,27.6918127097
5913,31.1018365144
5914,34.2339584042
5916,37.1728569132
5917,39.9859376995
5918,42.6051986194
5920,44.9118300399
5921,46.8086139858
5922,48.1610283943
5923,48.7401756692
5925,48.9145071583
5926,48.8670777516
5927,48.8354247576
5929,49.0405554589
5930,49.7988261556
5931,50.8277783349
5932,51.8413005227
5934,52.6502524475
5935,53.0239999646
5936,52.7844672814
5937,52.1325994183
5938,51.1178112944
5939,49.7835677396
5940,48.1935591423
5941,46.5331415387
5943,44.8934955359
5944,43.2713875683
5945,41.7418042829
5947,40.3276197946
5948,39.2045910266
5950,38.3155633205
5951,37.6112376955
5953,37.0333508874
5955,36.5410258463
5956,35.8747297721
5958,34.9522495741
5960,33.7060972996
5962,32.1091718075
5964,30.1820827169
5966,28.1483096248
5968,26.3285973061
5970,24.9325977195
5973,24.1160156251
5975,23.9331058628
5977,24.6313956793
5980,25.5603845111
5982,26.3579755988
5985,26.6506175379
5987,26.0933123964
5990,24.5407458432
5993,22.5136844737
5995,20.1361235792
5998,17.5180636668
6001,14.7540488646
6004,12.0230572217
6007,9.271145761
6009,6.5475687117
6012,3.7940554442
6015,1.0594144033
6019,-1.6801111227
6022,-4.3392663574
6025,-6.9799117303
6028,-9.5200630311
6031,-11.9531181776
6034,-14.2060225197
6038,-16.3477363745
6041,-18.3449095045
6044,-20.3290909753
6047,-22.2950229016
6050,-24.2680109374
6053,-26.2698882371
6056,-28.1483096248
6059,-29.8532855782
6062,-31.2623352978
6065,-32.0829146538
6068,-32.5007724568
6071,-32.5527495683
6074,-32.3966788564
6077,-32.1615586961
6080,-32.1615586961
6083,-32.5786952399
6085,-33.4778073928
6088,-34.7799814433
6091,-36.3517951337
6094,-37.9082367434
6097,-39.2484412113
6100,-40.3063443137
6103,-41.1461104241
6106,-41.782497261
6108,-42.4264296021
6111,-43.1354137424
6114,-43.9612451499
6117,-44.8567626439
6120,-45.7609290123
6123,-46.4984996664
6125,-47.0643438999
6128,-47.4182677118
6131,-47.6184153642
6134,-47.7179189099
6136,-47.8005582681
6139,-47.9814088788
6142,-48.242239863
6144,-48.5485903847
6147,-48.8353998965
6149,-48.9302887475
6152,-48.7242490342
6154,-48.1610283943
6157,-47.1997215965
6159,-45.8142694685
6162,-43.9422753463
6165,-41.8028084887
6167,-39.4233981315
6170,-36.9400370597
6172,-34.4084595684
6175,-32.0829146538
6178,-30.0179563789
6180,-28.2050730376
6183,-26.708939673
6186,-25.5008592116
6189,-24.6012094348
6192,-23.8720045
6194,-23.2888431126
6197,-22.7937176518
6200,-22.3263303615
6204,-21.7296940797
6207,-21.0008564131
6210,-20.1038737432
6213,-19.0007391422
6216,-17.6508610464
6220,-16.0444784467
6223,-14.1716984153
6226,-12.0230572217
6230,-9.6266395637
6233,-6.871898818
6237,-3.7212798864
6240,-0.2557244183
6244,3.3573407823
6247,7.0519115459
6251,10.688602374
6254,14.068609979
6258,17.2185211438
6261,20.1361235792
6265,22.793766381
6268,25.2323832522
6272,27.3469045017
6275,29.1613123065
6278,30.644165057
6282,31.7669837901
6285,32.5007724568
6288,32.7082800034
6291,32.5527495683
6295,32.0566836128
6298,31.2890601711
6302,30.3456646105
6305,29.2448496877
6308,28.0345576212
6312,26.7381241192
6315,25.3518582082
6319,23.8720045
6323,22.2950719839
6326,20.7136839966
6330,19.1639257821
6333,17.8166218712
6337,16.6500565697
6341,15.8756366433
6345,15.3673145069
6348,14.9588621762
6352,14.6173098772
6356,14.2746933611
6360,13.8965716236
6364,13.4826844431
6368,13.0674145316
6372,12.7202031032
6376,12.4766313732
6380,12.3372489529
6384,12.3372489529
6388,12.4069314515
6392,12.5114399776
6396,12.6506896026
6400,12.7897331076
6404,12.9286237435
6408,13.0327041751
6412,13.136697244
6416,13.2752539842
6421,13.4826844431
6425,13.7587891471
6429,14.1373639339
6433,14.5831119034
6437,15.0270646242
6442,15.4352536774
6446,15.7403485792
6450,15.8418448407
6455,15.7403485792
6459,15.3333549738
6463,14.6173098772
6468,13.6898099118
6472,12.6506896026
6477,11.5328416355
6481,10.3707579899
6485,9.271145761
6490,8.1646082153
6494,7.0519115459
6499,5.861530775
6503,4.5571590129
6508,3.1388338749
6513,1.57059415
6517,-0.1461207026
6522,-2.081524184
6526,-4.1212480048
6531,-6.3671830125
6536,-8.6651151832
6540,-11.0761392113
6545,-13.4481465547
6550,-15.7741742533
6555,-17.7834630436
6559,-19.3593040545
6564,-20.4895893863
6569,-21.2552144586
6574,-21.7296940797
6578,-21.9186372715
6583,-21.7296940797
6588,-21.1281194669
6592,-20.0716612069
6597,-18.542200125
6602,-16.5829910887
6606,-14.5146304083
6611,-12.4766313732
6615,-10.5473821465
6619,-8.7007997094
6624,-6.835902415
6628,-4.702328918
6632,-2.2274960581
6636,0.5480087833
6640,3.5029391669
6644,5.753046713
6648,7.0519115459
6651,7.4473642335
6655,7.0519115459
6658,6.1144762832
6662,4.7386547249
6665,3.3573407823
6668,2.1910343455
6671,1.3880216725
6674,1.1689207632
6677,1.7531347627
6680,2.7744748963
6682,3.975854684
6685,5.1738038915
6688,6.0783718032
6690,6.3311132093
6693,6.0422624821
6695,5.3911576306
6697,4.4482857645
6699,3.4301169533
6702,2.4463418812
6704,1.5341049989
6706,0.5480087833
6708,-0.5845211426
6709,-2.0085852545
6711,-3.7212798864
6713,-5.6445212891
6715,-7.7345673528
6716,-9.9104765058
6718,-12.127870255
6719,-14.3089861989
6721,-16.5158261736
6722,-18.9026835311
6723,-21.6034719906
6725,-24.7219143316
6726,-28.4033596273
6727,-32.2661931935
6729,-35.8987093838
6730,-39.0064829972
6731,-41.3939388191
6732,-42.9792502156
6733,-44.0935476969
6734,-44.8383930512
6735,-45.2943677828
6736,-45.4926919717
6737,-45.5286146013
6738,-45.4567517461
6740,-45.2219071179
6741,-44.783185112
6742,-44.0935476969
6743,-43.0574465928
6744,-41.8231068638
6746,-40.5393743753
6747,-39.4233981315
6748,-38.7628253251
6749,-39.0946568154
6751,-40.2212087011
6752,-41.8839567396
6753,-43.8092969406
6754,-45.7609290123
6756,-47.3008173959
6757,-48.3555453988
6758,-48.8987156055
6759,-48.9145071583
6761,-48.452251123
6762,-47.4182677118
6764,-45.9560225344
6765,-44.0369145884
6767,-41.639894122
6768,-38.8072604444
6770,-35.6098438504
6772,-32.2661931935
6774,-28.9098842971
6776,-25.6495384679
6778,-22.5759909162
6780,-19.6838793625
6782,-16.7171277651
6784,-13.4826844431
6786,-9.8750373353
6789,-5.9337923237
6791,-2.0085852545
6794,1.57059415
6796,4.5571590129
6799,6.835902415
6802,8.3792852615
6804,9.2355172243
6807,9.9105321343
6810,10.6180085569
6813,11.4977794923
6816,12.7202031032
6819,14.5831119034
6822,16.8176199766
6825,19.294212639
6828,21.8242773982
6831,24.1464340844
6834,26.122763408
6837,27.7204424933
6840,28.8818869848
6843,29.6604959622
6846,30.1000876054
6848,30.2912263065
6851,30.4544451701
6854,30.7252529042
6856,31.1554105054
6859,31.8198033366
6861,32.7858427794
6863,33.8827784859
6866,35.0258472352
6868,36.0901369199
6870,37.0566253666
6872,37.8171143037
6874,38.4951209301
6876,39.1606516058
6878,39.8999963635
6880,40.7498661622
6882,41.8028084887
6884,42.9401081193
6886,44.1124210778
6887,45.1855932153
6889,46.1321803344
6891,46.8599553121
6892,47.4851705785
6894,48.079533716
6896,48.7401756692
6897,49.492139957
6899,50.31140875
6901,50.9877599211
6902,51.3757825231
6904,51.3757825231
6905,50.9151729785
6907,49.9658468929
6909,48.8829140822
6910,47.8993697903
6912,47.1490289661
6913,46.671214797
6915,46.167288476
6917,45.4207374443
6919,44.3377012037
6920,42.802656724
6922,40.8127489039
6924,38.2930647513
6926,35.4161267456
6928,32.1877706749
6930,28.6290999933
6932,24.8123016343
6934,20.7776114149
6936,16.6836243464
6938,12.6158640582
6940,8.8435815585
6942,5.5721862569
6945,3.0659585769
6947,1.095917422
6949,-0.4018405517
6951,-1.5340477152
6954,-2.3004140445
6956,-2.6650591756
6959,-2.8109042226
6961,-2.8109042226
6964,-2.701552347
6967,-2.5192368086
6970,-2.2639559676
6972,-2.0085852545
6975,-1.7165950026
6978,-1.4975573187
6981,-1.3515265956
6984,-1.3880216725
6987,-1.7165950026
6990,-2.4462846607
6993,-3.6848590435
6996,-5.4273493762
7000,-7.7345673528
7003,-10.3000190561
7006,-12.998038519
7009,-15.7741742533
7013,-18.4106889113
7016,-20.5216288067
7019,-22.0129216641
7023,-22.8868242676
7026,-23.1345011349
7030,-22.8247998064
7033,-21.9501121739
7037,-20.7456795224
7040,-19.3918048126
7044,-18.0481287892
7047,-16.8510762709
7051,-16.0444784467
7054,-15.6048272129
7058,-15.5709454399
7061,-15.9769970439
7065,-16.7171277651
7068,-17.8165699078
7072,-19.0660625817
7075,-20.393340514
7078,-21.7612521822
7082,-23.072654984
7085,-24.2680109374
7088,-25.3518582082
7091,-26.4165954901
7095,-27.5195836445
7098,-28.6572330911
7101,-29.9082507027
7104,-31.1821538523
7107,-32.4747817785
7110,-33.6807692788
7114,-34.7799814433
7117,-35.5614831148
7120,-36.0423576483
7123,-36.2568523435
7126,-36.2330898841
7129,-35.9945203888
7132,-35.5372998498
7135,-34.903098149
7138,-34.1589445778
7140,-33.3249698084
7143,-32.4227145621
7146,-31.4755022731
7149,-30.481581194
7152,-29.494645648
7154,-28.4598962976
7157,-27.3757142972
7160,-26.122763408
7162,-24.6917244798
7165,-23.1345011349
7167,-21.477029525
7170,-19.7810023897
7172,-18.0481287892
7175,-16.4150177034
7177,-14.9588621762
7180,-13.8621547995
7182,-13.17132397
7184,-13.1020607575
7187,-13.6207902374
7189,-14.7540488646
7191,-16.3477363745
7193,-18.1471678046
7195,-19.0660625817
7198,-18.7062278615
7200,-17.0182849827
7201,-14.068609979
7203,-9.9813874762
7205,-4.8111810242
7207,0.949843001
7209,6.871898818
7211,12.6506896026
7213,17.9820234786
7215,22.6693939447
7216,26.7964024612
7218,30.2912263065
7220,33.2483896442
7222,35.730471683
7224,37.8171143037
7225,39.7058130669
7227,41.4761207074
7229,43.1159481829
7231,44.6539650382
7232,45.8852502104
7234,46.671214797
7236,46.8941374096
7238,46.4464677006
7240,45.2400324917
7241,43.0964396601
7243,40.348848572
7245,37.1960459143
7247,33.8827784859
7250,30.7522378392
7252,28.3468070361
7254,26.5337486493
7256,25.1126262703
7259,23.8720045
7261,22.4512729002
7263,20.168309606
7266,16.9848879799
7269,12.8592248645
7271,7.9497003531
7274,2.6651163766
7277,-2.3004140445
7279,-6.6196980571
7282,-10.264609927
7285,-13.3789866921
7288,-16.0782549761
7291,-18.9353644263
7294,-22.1384722567
7296,-25.6495384679
7299,-29.3282510515
7302,-32.8116535609
7305,-35.2702064258
7308,-36.5410258463
7312,-36.7058243313
7315,-35.8987093838
7318,-34.2839066294
7321,-32.3445214942
7324,-30.5629411589
7327,-29.0497321957
7331,-27.9205200982
7334,-27.2603399659
7337,-26.8836395113
7341,-26.5921899697
7344,-26.240465304
7348,-25.73855954
7351,-25.0826738323
7355,-24.3287362231
7358,-23.5964078168
7362,-22.9178639267
7366,-22.4200705405
7369,-22.0757248248
7373,-21.9186372715
7377,-21.8242279884
7380,-21.7927469968
7384,-21.7927469968
7388,-21.7927469968
7392,-21.6981716273
7395,-21.477029525
7399,-21.0326800761
7403,-20.3290909753
7407,-19.2290694615
7411,-17.5512682453
7415,-15.4012629915
7419,-12.7897331076
7423,-9.7686184932
7427,-6.3671830125
7431,-2.6650591756
7435,1.0594144033
7439,4.702385858
7442,8.0929788979
7446,11.1816649636
7450,13.8277277793
7454,16.1457207345
7458,18.2131488732
7462,19.9426282618
7465,20.9052540624
7469,21.8557445353
7473,22.8558191048
7476,23.8414561744
7480,25.6198507797
7483,29.6329064863
7486,31.448924871
7490,31.5551857085
7493,31.1554105054
7496,30.5629411589
7499,30.1000876054
7502,30.2094127235
7505,30.8331443369
7508,31.8198033366
7511,33.0690996883
7513,34.483068554
7516,35.8987093838
7519,37.1960459143
7521,38.2254499674
7524,38.9401995428
7527,39.2045910266
7529,38.7850672251
7532,37.7942716525
7534,36.3043712245
7537,34.483068554
7539,32.6046666174
7541,31.5551857085
7544,31.7405721407
7546,33.1972214471
7548,35.6581462567
7551,38.4503326323
7553,40.4124881493
7555,41.4556027721
7558,41.5785802329
7560,40.8127489039
7562,39.0946568154
7564,36.5646010203
7567,33.8575942072
7569,31.448924871
7571,29.7707892132
7574,29.2726943443
7576,30.2366847738
7578,31.8988989487
7581,33.8575942072
7583,35.6098438504
7585,36.7997106988
7588,36.8933310391
7590,36.3043712245
7592,35.3432323958
7595,34.2339584042
7597,33.2228330851
7599,32.4227145621
7601,31.7669837901
7604,31.2623352978
7606,30.9139148286
7608,30.8062047182
7610,31.1554105054
7612,32.0566836128
7614,33.5540646965
7616,35.6581462567
7618,38.2479904046
7620,40.8963968285
7622,43.1354137424
7624,44.8567626439
7626,46.0266147849
7628,46.7400152821
7630,47.1828436257
7632,47.635042981
7634,48.2097963228
7636,48.9776232451
7638,49.8900800811
7639,50.6520036702
7641,51.0600982035
7643,50.9877599211
7645,50.4007368878
7647,49.2440102104
7649,47.5851806254
7651,45.7075144832
7654,43.7902601355
7656,42.0053417438
7658,40.5605031315
7660,39.6408415795
7662,39.1166572957
7665,38.9401995428
7667,39.0506146888
7669,39.2922710498
7672,39.5105319585
7674,39.4233981315
7677,38.8737920817
7679,37.6799902268
7682,35.6340212845
7685,32.4487761012
7687,28.4316576763
7690,23.5657302072
7692,18.0481287892
7695,12.0929599574
7698,6.2589585275
7700,0.7671898617
7703,-4.3756286905
7705,-9.1999373498
7708,-13.7587891471
7710,-18.1471678046
7713,-22.3575747539
7715,-26.2992501961
7718,-29.9356890361
7720,-33.1203771322
7722,-35.5614831148
7725,-37.4042162758
7727,-38.785032374
7729,-39.7706625748
7731,-40.4548257184
7733,-41.0006849272
7736,-41.6194477194
7738,-42.5059982296
7740,-43.6948341966
7742,-45.2581463238
7744,-47.0812971268
7746,-48.7719488804
7748,-50.1617644879
7750,-51.1178112944
7752,-51.5744252451
7754,-51.4469152135
7755,-50.9587249866
7757,-50.2367038807
7759,-49.3838954378
7761,-48.5806055592
7763,-48.030517943
7765,-47.7179189099
7767,-47.6184153642
7769,-47.6350169272
7770,-47.6682144973
7772,-47.5351970699
7774,-47.2671528044
7776,-46.9111987689
7777,-46.5504323737
7779,-46.2723175314
7781,-46.1321803344
7783,-46.0970274351
7784,-46.0970274351
7786,-46.0794479857
7788,-45.9736805325
7789,-45.7431355062
7791,-45.4387362111
7792,-45.1128549361
7794,-44.8199828884
7796,-44.5241381139
7797,-44.1688805138
7799,-43.6948341966
7800,-43.1354137424
7802,-42.4861328069
7804,-41.8636968998
7805,-41.4556027721
7807,-41.3939388191
7809,-41.7214544345
7810,-42.4662547755
7812,-43.5030987393
7814,-44.5427369513
7815,-45.4027272097
7817,-45.9560225344
7819,-46.2198531638
7821,-46.1848120307
7823,-45.9383532905
7824,-45.5286146013
7826,-44.9484927664
7828,-44.1500726831
7830,-43.0379008201
7833,-41.4556027721
7835,-39.3141482733
7837,-36.4228600703
7839,-32.5527495683
7841,-27.4908487912
7843,-21.1281194669
7846,-13.8965716236
7848,-6.1867272689
7850,1.4610657083
