Distance (m),Lean Angle (deg)
1402,-37.8854504354
1405,-36.8933310391
1409,-35.2702064258
1412,-33.0947458792
1415,-30.3728611031
1419,-27.1446805813
1422,-23.3812674815
1426,-19.0986794417
1429,-14.3089861989
1433,-9.1287002891
1437,-3.5756929603
1440,2.0085852545
1444,7.1238325623
1448,11.2168048145
1451,14.0342444702
1455,15.2993844106
1459,14.480400637
1463,12.1627714225
1466,8.9505675361
1470,5.1738038915
1473,1.2784758877
1477,-2.4462846607
1480,-6.0060916498
1484,-9.4844855369
1487,-12.9633087444
1491,-16.5158261736
1494,-20.2648385181
1497,-24.024577911
1501,-27.5483485802
1504,-30.590016745
1507,-33.0690594157
1511,-34.6317709482
1514,-35.6098438504
1517,-36.2092756522
1520,-36.7058243313
1524,-37.1960459143
1527,-37.8854504354
1530,-38.7628253251
1533,-39.6408415795
1537,-40.3275864579
1540,-40.5393743753
1543,-39.6625009756
1547,-37.7257307357
1550,-34.9276619391
1554,-31.3690186232
1557,-27.2314249305
1560,-22.6693939447
1564,-17.8827987098
1568,-12.9286237435
1571,-7.8062655039
1575,-2.5556812301
1578,2.8109042226
1582,8.2003851848
1585,13.4826844431
1589,18.4436113958
1592,22.9178639267
1596,26.5921899697
1599,29.5500040323
1603,31.9778590244
1606,33.907947923
1610,35.4403829449
1613,36.4465442973
1616,37.1031680547
1620,37.4503322318
1623,37.6112376955
1627,37.7028675292
1630,37.8399070735
1634,38.1802917649
1637,38.7628253251
1641,39.5323069672
1644,40.3276197946
1648,40.7498661622
1651,40.5182654479
1655,39.6408415795
1659,37.9991343091
1662,35.5131020116
1666,31.9252202615
1670,27.3469045017
1673,21.9501121739
1677,15.8418448407
1681,9.3778763152
1685,2.9202356285
1688,-3.1388338749
1692,-8.6294238887
1695,-13.5517844692
1699,-17.8165699078
1702,-21.477029525
1706,-24.6012094348
1709,-27.2891947019
1713,-29.5500040323
1716,-31.3956830711
1719,-32.8116535609
1723,-33.8323555129
1726,-34.6070305604
1729,-35.1970487166
1732,-35.6581462567
1735,-36.0662357932
1738,-36.5646010203
1741,-37.1263997703
1744,-37.7942716525
1747,-38.5398887657
1750,-39.2922710498
1753,-40.0716636154
1756,-40.9381580998
1758,-41.9446910772
1761,-43.0769493218
1763,-44.2252616666
1766,-45.1492329837
1769,-45.6360800883
1771,-45.60029454
1774,-45.0399023662
1776,-43.9612451499
1779,-42.6051986194
1782,-41.0214900293
1785,-39.2265229598
1787,-37.2192206958
1790,-34.9276619391
1793,-32.2139265345
1796,-28.7415860166
1799,-24.3287362231
1802,-18.7717811158
1805,-12.092905146
1808,-5.1375256809
1811,1.3515265956
1814,6.835902415
1817,11.1113597442
1820,14.2746933611
1824,16.7841518808
1827,18.7062278615
1830,20.168309606
1834,21.1281693509
1837,21.6350853535
1841,21.8242773982
1844,21.7927469968
1848,21.5086979857
1852,21.0008564131
1855,20.2648385181
1859,19.3918048126
1863,18.4107405238
1866,17.4183249628
1870,16.5158261736
1874,16.0782549761
1878,16.1457207345
1881,16.7841518808
1885,17.9489781983
1889,19.6190482505
1893,21.7927469968
1896,24.1464340844
1900,26.5921899697
1904,29.0776389306
1908,31.4755022731
1912,33.7566293283
1915,35.6822566786
1919,37.1031680547
1923,37.9309732816
1926,38.0898429046
1930,37.6112376955
1934,36.7762422234
1937,35.6581462567
1941,34.3088389642
1944,32.760017028
1948,30.994549337
1951,29.1055743477
1954,27.0288270526
1958,24.7520422733
1961,22.1071301185
1964,18.9026835311
1967,15.06112281
1971,10.5473821465
1974,5.4273493762
1977,-0.2192091226
1980,-6.1144762832
1983,-11.9181625374
1986,-17.3850196887
1989,-22.263750526
1992,-26.4752018628
1995,-29.7432169817
1998,-32.2400673734
2001,-34.1839509185
2004,-35.730471683
2006,-36.9867225559
2009,-38.1350775839
2012,-39.3141482733
2015,-40.5605031315
2017,-41.8636968998
2020,-43.154866933
2023,-44.3750954017
2025,-45.4207374443
2028,-46.3421051979
2030,-47.1321187841
2033,-47.7675287975
2036,-48.1772861643
2038,-48.3716800933
2041,-48.3232199986
2044,-48.0141671891
2046,-47.4015285592
2049,-46.2723175314
2052,-44.5984041559
2054,-42.3266921948
2057,-39.4015549189
2060,-35.6822566786
2062,-31.0213832543
2065,-25.4413216777
2068,-19.1312834618
2070,-12.2326010325
2073,-4.9925425287
2076,2.2639559676
2079,9.271145761
2081,15.8756366433
2084,21.9186866161
2086,27.2603399659
2089,31.7934218141
2092,35.6340212845
2094,38.8737920817
2097,41.5171498466
2099,43.5991340633
2102,44.9667922485
2105,45.7253306657
2107,46.0794479857
2110,46.1146232686
2113,45.9560225344
2116,45.6360800883
2118,45.2581747509
2121,44.8383930512
2124,44.4124419645
2127,44.0180227129
2130,43.618292448
2133,43.1937667276
2136,42.6250195595
2139,41.9244697086
2142,41.0423146417
2145,40.0930866609
2148,39.2703801639
2151,38.7183697786
2154,38.6515477628
2157,39.1606516058
2160,40.4336635899
2163,42.085977363
2167,43.8092969406
2170,45.4387644576
2173,46.8086139858
2176,47.8005582681
2179,48.452251123
2182,48.8195583892
2186,48.9303135146
2189,48.8195583892
2192,48.5966230728
2195,48.4039441649
2199,48.2097963228
2202,47.9978060731
2206,47.601803266
2209,46.5677122137
2212,44.6354662286
2216,41.6806840904
2219,37.5653200045
2222,32.1877706749
2226,25.6198507797
2229,18.4107405238
2232,11.146516599
2236,4.3393233544
2239,-1.5340477152
2242,-6.0060916498
2245,-9.2710899225
2249,-11.5328416355
2252,-13.1020607575
2255,-14.1716984153
2258,-15.06112281
2261,-16.1794099644
2264,-17.8165699078
2267,-20.2004823704
2270,-23.4120309426
2273,-27.5483485802
2275,-31.9515265322
2278,-36.0184650292
2281,-39.4233981315
2284,-41.9042355301
2286,-42.9204876493
2289,-42.7435262106
2292,-41.639894122
2295,-39.8569278799
2297,-37.634157342
2300,-35.4403829449
2303,-33.7818730534
2306,-32.9405637882
2308,-32.9662847571
2311,-33.8071415177
2314,-35.0748133237
2317,-36.1854842955
2319,-36.8933310391
2322,-37.0333508874
2325,-36.5173992596
2328,-35.2458096657
2331,-33.5794274266
2333,-31.7405721407
2336,-29.8532855782
2339,-28.1198607497
2342,-26.8545754147
2344,-26.0638002967
2347,-25.6198041626
2350,-25.4710978043
2352,-25.5008592116
2355,-25.5306058945
2357,-25.6198041626
2360,-25.73855954
2363,-26.1816671316
2365,-28.4316576763
2368,-32.1353727652
2370,-34.7799814433
2372,-36.7996739256
2375,-38.4278824367
2377,-39.6408415795
2379,-40.348848572
2382,-40.7917792832
2384,-41.1875565763
2387,-41.6602955574
2389,-42.3666126046
2391,-43.3874643086
2394,-44.3563895964
2396,-44.9484927664
2399,-44.9301528687
2401,-43.9801731581
2403,-41.4144957147
2406,-37.1960459143
2409,-31.2623352978
2411,-23.6270710987
2414,-14.6173098772
2416,-5.4997766208
2419,2.9931305269
2422,10.6180085569
2424,17.1184568888
2427,22.5448447193
2430,26.8836851261
2432,30.4272514062
2435,33.3505067169
2438,35.6822566786
2440,37.4963553623
2443,38.740604462
2445,39.6625349672
2448,40.3276197946
2450,40.8127489039
2453,41.1461104241
2455,41.4556027721
2458,41.7621731735
2460,42.085977363
2462,42.4065136813
2465,42.7435571499
2467,43.1159481829
2469,43.5607505846
2472,44.0746918876
2474,44.6909563221
2476,45.3485992887
2478,45.9736805325
2481,46.4464677006
2483,46.7056369319
2485,46.671214797
2487,46.3246817782
2489,45.6003226249
2492,44.6539650382
2494,43.5799634859
2496,42.4065136813
2499,41.1875565763
2501,39.9430108434
2503,38.6960863307
2506,37.4503322318
2508,36.2568523435
2511,35.1481908827
2513,34.1339234342
2516,33.0947458792
2518,31.9252202615
2521,30.5087021136
2524,28.7416300987
2526,26.5921899697
2529,24.1464340844
2532,21.5403030665
2535,18.9026835311
2538,16.3141047294
2541,14.068609979
2544,12.0929599574
2547,10.2646654334
2550,8.5222535852
2554,6.7278242718
2557,4.7386547249
2560,2.6286210468
2564,0.5114959793
2567,-1.4610657083
2571,-3.2116418736
2574,-4.5571590129
2577,-5.535955258
2581,-6.1867272689
2584,-6.5836077157
2588,-6.7998440727
2591,-6.9438752631
2595,-7.0878748576
2598,-7.2676631798
2601,-7.5192149297
2605,-7.8421616388
2608,-8.3077335315
2611,-9.0218193823
2614,-9.9104765058
2617,-11.0761392113
2620,-12.4069314515
2623,-13.9998146912
2626,-15.6726103568
2629,-17.4183249628
2632,-19.2290694615
2635,-21.0963365772
2638,-23.1036094251
2641,-25.2921266932
2643,-27.6057432691
2646,-29.9905633936
2649,-32.318440741
2651,-34.458200686
2654,-36.3280903865
2657,-37.8626857821
2659,-39.0946568154
2662,-39.9859376995
2664,-40.4124881493
2667,-40.6237434613
2669,-40.7498661622
2671,-40.8545828292
2674,-41.0422820116
2676,-41.2496114752
2678,-41.4350396232
2680,-41.5580949786
2683,-41.639894122
2685,-41.639894122
2687,-41.6194477194
2689,-41.6806840904
2691,-41.9244697086
2694,-42.3666126046
2696,-42.9204876493
2698,-43.4260682721
2700,-43.6757245283
2703,-43.5799333812
2705,-43.0574465928
2707,-41.9851271078
2710,-40.1785438393
2712,-37.8399070735
2715,-35.1237591502
2717,-32.1615586961
2719,-29.1613123065
2722,-26.4752018628
2724,-24.2680109374
2727,-22.5759909162
2730,-21.3820410198
2732,-20.5216288067
2735,-19.521729046
2738,-18.1471678046
2740,-16.3477363745
2743,-14.068609979
2746,-11.2871140135
2749,-7.8779953372
2752,-4.01219363
2755,0.2922968299
2758,4.9200552682
2761,9.7331489568
2764,14.5146304083
2767,18.9354157206
2770,22.8868729302
2773,26.2110736361
2776,28.7977605112
2779,30.3456646105
2782,31.0213832543
2785,30.994549337
2788,30.4272514062
2791,29.494645648
2793,28.5163726199
2796,27.9205200982
2799,28.0630070354
2802,29.1892023472
2805,31.3423808824
2808,34.6565354094
2811,38.0898429046
2814,41.0838592336
2817,43.3101391832
2820,44.5612948041
2823,44.393759988
2826,43.2131828365
2830,41.2908945231
2833,38.8737920817
2836,36.1854842955
2839,33.7819126708
2842,31.7934218141
2845,30.2912263065
2848,29.3004802473
2852,28.8258471079
2855,28.9379104402
2858,29.3282510515
2862,29.9082507027
2865,30.590016745
2868,31.3423808824
2872,32.0041351928
2875,32.5007724568
2879,32.760017028
2882,32.7858427794
2885,32.5267889047
2889,32.0041351928
2892,31.448924871
2896,31.0213832543
2899,30.8331443369
2903,31.0482441718
2906,31.8198033366
2910,32.8890365478
2913,33.9582817408
2917,34.8538878861
2920,35.3675324189
2924,34.9522495741
2928,33.6047752755
2931,31.3690604288
2935,28.3185081549
2939,24.661567363
2942,20.8733761957
2946,17.2851880488
2950,13.9654285924
2954,11.0409654329
2958,8.5222535852
2961,6.6196980571
2965,5.1738038915
2969,4.1213050339
2973,3.4301169533
2977,3.1024260592
2981,3.2116990187
2985,3.5757500624
2989,4.1213050339
2993,4.702385858
2998,5.354961574
3002,5.861530775
3006,6.2589585275
3010,6.4754751339
3014,6.5475687117
3019,6.4033043663
3023,6.1506325618
3027,5.861530775
3031,5.6806820584
3036,5.6083560126
3040,5.8253929749
3044,6.5836642878
3048,7.9138228409
3052,9.5911400579
3056,11.5679500555
3060,13.6553321857
3064,15.7064585282
3068,17.6176929996
3072,19.3918048126
3076,20.9690191881
3080,22.4200705405
3084,23.7190229614
3088,24.9926815428
3092,26.3285973061
3095,27.7777019138
3099,29.3560503168
3103,31.1554105054
3107,32.9662847571
3111,34.6070305604
3115,35.9705987838
3119,36.9400736982
3123,37.3811551197
3127,37.4503322318
3131,37.2192206958
3135,36.7527962043
3139,36.1378582426
3143,35.5373378255
3147,35.0993127693
3151,34.8538878861
3156,34.8538878861
3160,35.0993127693
3164,35.6098438504
3168,36.2330898841
3172,36.7762422234
3176,37.1031680547
3180,37.0798855934
3184,36.4937953199
3188,35.2945503127
3192,33.3759886782
3196,30.6711953147
3200,27.0868064613
3203,22.5448447193
3207,17.351754531
3210,11.8131868098
3214,6.222817052
3217,0.8767723898
3221,-3.7212798864
3224,-7.6627885399
3228,-11.0057279968
3231,-13.8276737258
3234,-16.2130877155
3237,-18.3449095045
3241,-20.4254200639
3244,-22.5136844737
3247,-24.661567363
3251,-26.7963567761
3254,-28.8818869848
3257,-30.7252105298
3261,-32.1615586961
3264,-33.0947458792
3267,-33.4778073928
3271,-33.2227929532
3274,-32.5267481383
3277,-31.4488831364
3280,-29.9905633936
3284,-28.1198607497
3287,-25.6198041626
3290,-22.5448447193
3293,-18.8699898781
3296,-14.7198935536
3299,-10.406087771
3301,-6.6557265726
3304,-3.9395125371
3307,-2.2639559676
3309,-1.6435686035
3312,-1.8991074717
3314,-2.8473312768
3317,-4.01219363
3319,-5.2100210944
3321,-6.3311132093
3323,-7.3754899975
3325,-8.4150232326
3327,-9.5200630311
3329,-10.8648601315
3331,-12.4069314515
3333,-14.1716984153
3334,-16.111967129
3336,-18.1141326957
3338,-20.168309606
3339,-22.2950229016
3341,-24.4802239922
3342,-26.767247903
3344,-29.133450874
3345,-31.5286118704
3347,-33.8827784859
3348,-36.0901369199
3349,-37.8854504354
3350,-39.2265229598
3352,-40.1998662426
3353,-40.8755128209
3354,-41.3733366275
3356,-41.9446910772
3357,-42.6843138288
3358,-43.5607505846
3360,-44.4869632241
3361,-45.366643989
3362,-45.9383532905
3364,-46.0970274351
3365,-45.9383532905
3366,-45.5286146013
3368,-44.9118300399
3369,-44.0746918876
3370,-43.0183732683
